,DS8
0,0.0015166286011281142
1,0.13252001447486575
2,0.04609787866928037
3,0.03831530330697442
4,0.056579175093769064
5,0.057187946679737714
6,0.05702018446217769
7,0.1653406378678872
8,0.19008744120201027
9,0.06435743117977727
10,0.08363967421895138
11,0.19383971047418047
12,0.06562256507008471
13,0.1482477998614897
14,0.17939650738908092
15,0.10283542787722949
16,0.040890811737630796
17,0.12189907030803898
18,0.25
19,0.040595789065568
20,0.10733932208846769
21,0.017776618526831788
22,0.05505087992730324
23,0.006863117886955307
24,0.09125035913638577
25,0.1551657844070097
26,0.06781244890555098
27,0.07446673037131481
28,0.18564357908324758
29,0.02470090883318874
30,0.1200476285243249
31,0.021066048808896485
32,0.09439588136519005
33,0.11677467301869544
34,0.1524346547780103
35,0.06765014306748368
36,0.046971566916750675
37,0.15821809262931166
38,0.024747716835668343
39,0.07637037480848897
40,0.05022361620887472
41,0.02097386545453489
42,0.028933363709297888
43,0.19049488228394235
44,0.18142243976163813
45,0.12949070223812034
46,0.043233483632432686
47,0.0402064782325918
48,0.1431482125141665
49,0.0198303022305072
50,0.16184404701357075
51,0.22707458698403674
52,0.03801376493700207
53,0.09780624357529691
54,0.18981353666726564
55,0.04068517246596945
56,0.11223316832391675
57,0.07219927292862983
58,0.017233053930896813
59,0.013453195346301771
60,0.10187825138896306
61,0.06775128571114876
62,0.08754033079486291
63,0.09424786555829004
64,0.12005338275344583
65,0.1231145969214334
66,0.05943465080730413
67,0.008970509113686062
68,0.14937929474654654
69,0.007922630262499685
70,0.216840615965416
71,0.15309189543384588
72,0.12897138465338992
73,0.25
74,0.14556991157141747
75,0.038513469268906954
76,0.06432287378071917
77,0.08311336329412444
78,0.16686755844155296
79,0.048131246878926566
80,0.16338883389047393
81,0.08779127611625721
82,0.22910949111434323
83,0.15557332203028656
84,0.05683563680245483
85,0.09442577040002494
86,0.10599300850804382
87,0.09804429602974433
88,0.11219291974621504
89,0.09017691693688942
90,0.19326981478578856
91,0.04114465777512995
92,0.07592337005386092
93,0.04830605848396442
94,0.03155423179015225
95,0.09855327298421648
96,0.1338435769489947
97,0.11024906456415617
98,0.10775452824362143
99,0.03266853682008401
